,Tribal Name,ADSL 4/1  ,ADSL 10/1,ADSL 25/3,ADSL 100/10,Cable 4/1,Cable 10/1,Cable 25/3,Cable 100/10,Fiber 4/1  ,Fiber 10/1,Fiber 25/3,Fiber 100/10,Fixed Wireless 4/1  ,Fixed Wireless 10/1,Fixed Wireless 25/3,Fixed Wireless 100/10,Providers 4/1  ,Providers 10/1,Providers 25/3,Providers 100/10,Population,Longitude,Latitude,Rural,Urban
,Mohegan Reservation,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-72.0940543,41.4900915,,
,Golden Hill Paugussett (state) Reservation,,,,,,,,,,,,,,,,,,,,,,-72.2680204,41.5521875,,
,Table Mountain Rancheria,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,3 or more,3 or more,2,0,68,-119.6359563,36.9848914,,
,Greenville Rancheria,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,-120.8933989,40.1487839,,
,Flathead Reservation,88.03,85.95,35.63,0,48.03,48.03,42.21,42.21,43.53,43.53,43.53,43.18,71.46,71.46,0,0,"2.72, 22.16, 47.89, 27.23","3.08, 23.43, 46.42, 27.07","29.94, 34.3, 33.78, 1.98","44.45, 25.66, 28.82, 1.17","30,431",-114.2842791,47.4967703,,
,Bishop Reservation,71.21,71.21,0,0,100,100,100,100,0,0,0,0,0,0,0,0,,,,,,-118.4204847,37.3644131,,
,Fallon Paiute-Shoshone Reservation,73.38,73.38,41.48,0,0,0,0,0,53.29,53.29,53.29,53.29,100,0,0,0,,,,,,-118.618146,39.5210015,,
,Walker River Reservation,0,0,0,0,0,0,0,0,0,0,0,0,97.81,0.34,0.34,0.34,,,,,,-118.730578,38.975737,,
,Los Coyotes Reservation,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,,,,,,-116.5560198,33.2976981,,
,Manzanita Reservation,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,,,,,,-116.3461124,32.7547169,,
,Mesa Grande Reservation,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,,,,,,-116.742366,33.0931693,,
,Pala Reservation,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,,,,,,-117.0492138,33.3604207,,
,Isabella Reservation,71.87,66.33,0,0,82.51,82.51,82.51,82.51,25.12,25.12,25.12,25.12,99.97,99.97,97.5,51.63,,,,,,-84.7807446,43.6761118,,
,Mattaponi (state) Reservation,,,,,,,,,,,,,,,,,,,,,,-76.9151278,37.6615027,,
,Roaring Creek Rancheria,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-121.953475,40.8933119,,
,Pueblo of Pojoaque,82.47,74.58,54.24,32.52,2.94,2.94,2.94,0,0,0,0,0,100,100,37.13,0,,,,,,-106.0262714,35.8934889,,
,Rosebud Indian Reservation,93.62,91.83,23.13,0,56.63,56.63,56.63,0,3.22,3.22,3.22,3.22,0,0,0,0,,,,,,-100.7076636,43.2087936,,
,Woodfords Community,74.25,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-119.7941527,38.800485,,
,Spokane Reservation,26.32,26.32,23.46,1.72,0,0,0,0,0,0,0,0,100,100,100,100,,,,,,-118.0481633,47.9291007,,
,Chitimacha Reservation,0,0,0,0,50.27,50.27,50.27,50.27,0,0,0,0,100,100,100,0,,,,,,-91.53118,29.883662,,
,"Coos, Lower Umpqua, and Siuslaw Reservation",0,0,0,0,99.69,99.69,99.69,99.69,,,,,0,0,0,0,,,,,,-124.4476014,42.8103663,,
,Pascua Pueblo Yaqui Reservation,11.07,11.07,11.07,2.37,0,0,0,0,0,0,0,0,100,100,100,0,,,,,,-111.0821095,32.1117152,,
,Berry Creek Rancheria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-121.3278834,39.6256089,,
,Enterprise Rancheria,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,,,,,,-121.3554802,39.561638,,
,Shakopee Mdewakanton Sioux Community,78.79,78.79,35.61,9.34,35.86,35.86,35.86,35.86,97.47,97.47,97.47,97.47,39.39,0,0,0,,,,,,-93.4526868,44.7539236,,
,Santa Rosa Rancheria,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,,,,,,-119.7551327,36.236111,,
,L'Anse Reservation,81.99,81.99,0,0,87.29,87.29,87.29,87.29,17.45,17.45,17.45,17.45,0,0,0,0,,,,,,-88.3701565,46.7800119,,
,Paucatuck Eastern Pequot (state) Reservation,,,,,,,,,,,,,,,,,,,,,,-71.9377759,41.4455323,,
,Mississippi Choctaw Reservation,18.44,18.44,9.13,0.85,59.96,59.96,59.96,0,19.59,19.59,19.59,19.59,21.44,21.44,0,0,,,,,,-88.6842836,32.7734402,,
,Duck Valley Reservation,22.87,22.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-116.1837855,41.9952686,,
,Southern Ute Reservation,44.96,44.96,21.85,0,13.16,13.16,13.16,13.16,0.06,0.06,0.06,0.06,77.01,76.58,76.5,0,,,,,,-107.6501252,37.1064024,,
,Ute Mountain Reservation,62.44,52.55,46.14,0,0,0,0,0,0,0,0,0,15.53,7.9,0,0,,,,,,-108.6501522,37.0971249,,
,Shoalwater Bay Indian Reservation,0,0,0,0,92.5,92.5,92.5,92.5,0,0,0,0,0,0,0,0,,,,,,-124.0291958,46.7214629,,
,Pamunkey (state) Reservation,,,,,,,,,,,,,,,,,,,,,,-77.0052176,37.5718327,,
