"AIANNHCE,C,4","AIANNHNS,C,8","GEOID,C,5","NAME,C,100","NAMELSAD,C,100","LSAD,C,2","CLASSFP,C,2","COMPTYP,C,1","AIANNHR,C,1","MTFCC,C,5","FUNCSTAT,C,1","ALAND,N,14,0","AWATER,N,14,0","INTPTLAT,C,11","INTPTLON,C,12"
2320,02419022,2320R,Mohegan,Mohegan Reservation,86,D8,R,F,G2101,A,1767260,0,+41.4900915,-072.0940543
9100,01930930,9100R,Golden Hill Paugussett,Golden Hill Paugussett (state) Reservation,86,D4,R,S,G2101,A,399343,0,+41.5521875,-072.2680204
4110,02419484,4110R,Table Mountain,Table Mountain Rancheria,85,D2,R,F,G2101,A,551202,0,+36.9848914,-119.6359563
1380,01666180,1380R,Greenville,Greenville Rancheria,85,D2,R,F,G2101,A,284692,0,+40.1487839,-120.8933989
1110,00806894,1110R,Flathead,Flathead Reservation,86,D2,R,F,G2101,A,5013467042,316267878,+47.4967703,-114.2842791
0290,00264455,0290R,Bishop,Bishop Reservation,86,D2,R,F,G2101,A,3503000,34784,+37.3644131,-118.4204847
1075,00840414,1075R,Fallon Paiute-Shoshone,Fallon Paiute-Shoshone Reservation,86,D8,R,F,G2101,A,33125605,0,+39.5210015,-118.6181460
4515,00857504,4515R,Walker River,Walker River Reservation,86,D2,R,F,G2101,A,1367746294,7784371,+38.9757370,-118.7305780
1995,00272219,1995R,Los Coyotes,Los Coyotes Reservation,86,D2,R,F,G2101,A,101560614,0,+33.2976981,-116.5560198
2115,00245463,2115R,Manzanita,Manzanita Reservation,86,D8,R,F,G2101,A,18572897,0,+32.7547169,-116.3461124
2190,02419013,2190R,Mesa Grande,Mesa Grande Reservation,86,D2,R,F,G2101,A,7058522,0,+33.0931693,-116.7423660
2635,00272502,2635R,Pala,Pala Reservation,86,D2,R,F,G2101,A,56177783,0,+33.3604207,-117.0492138
1610,01616981,1610R,Isabella,Isabella Reservation,86,D8,R,F,G2101,A,560500419,4425892,+43.6761118,-084.7807446
9230,01470191,9230R,Mattaponi,Mattaponi (state) Reservation,86,D4,R,S,G2101,A,279160,31696,+37.6615027,-076.9151278
3185,00265444,3185R,Roaring Creek,Roaring Creek Rancheria,85,D2,R,F,G2101,A,331930,234,+40.8933119,-121.9534750
2990,00937193,2990R,Pojoaque,Pueblo of Pojoaque,9C,D8,R,F,G2101,A,54748557,0,+35.8934889,-106.0262714
3235,01266248,3235R,Rosebud,Rosebud Indian Reservation,96,D8,R,F,G2101,A,3596445667,5854544,+43.2087936,-100.7076636
4665,01985241,4665R,Woodfords,Woodfords Community,82,D2,R,F,G2101,A,1578715,0,+38.8004850,-119.7941527
3940,01511576,3940R,Spokane,Spokane Reservation,86,D8,R,F,G2101,A,615340764,31967209,+47.9291007,-118.0481633
0635,02419340,0635R,Chitimacha,Chitimacha Reservation,86,D2,R,F,G2101,A,1819459,0,+29.8836620,-091.5311800
0770,02418879,0770R,"Coos, Lower Umpqua, and Siuslaw","Coos, Lower Umpqua, and Siuslaw Reservation",86,D8,R,F,G2101,A,82966,2912,+42.8103663,-124.4476014
2680,02419049,2680R,Pascua Pueblo Yaqui,Pascua Pueblo Yaqui Reservation,86,D8,R,F,G2101,A,3621547,0,+32.1117152,-111.0821095
0200,00256849,0200R,Berry Creek,Berry Creek Rancheria,85,D8,R,F,G2101,A,155925,0,+39.6256089,-121.3278834
1055,00259950,1055R,Enterprise,Enterprise Rancheria,85,D8,R,F,G2101,A,168285,0,+39.5616380,-121.3554802
3680,00649741,3680R,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community,82,D8,R,F,G2101,A,1062761,0,+44.7539236,-093.4526868
3520,00247949,3520R,Santa Rosa,Santa Rosa Rancheria,85,D2,R,F,G2101,A,1620467,0,+36.2361110,-119.7551327
1880,01616978,1880R,L'Anse,L'Anse Reservation,86,D8,R,F,G2101,A,237865016,46825041,+46.7800119,-088.3701565
9280,00209709,9280R,Paucatuck Eastern Pequot,Paucatuck Eastern Pequot (state) Reservation,86,D4,R,S,G2101,A,924356,59004,+41.4455323,-071.9377759
2300,00685014,2300R,Mississippi Choctaw,Mississippi Choctaw Reservation,86,D8,R,F,G2101,A,121624772,254181,+32.7734402,-088.6842836
0965,00858264,0965R,Duck Valley,Duck Valley Reservation,86,D2,R,F,G2101,A,1166983076,5248490,+41.9952686,-116.1837855
3925,00169585,3925R,Southern Ute,Southern Ute Reservation,86,D2,R,F,G2101,A,2747429006,12071074,+37.1064024,-107.6501252
4470,00169579,4470R,Ute Mountain,Ute Mountain Reservation,86,D8,R,F,G2101,A,2302794335,354826,+37.0971249,-108.6501522
3780,01508317,3780R,Shoalwater Bay,Shoalwater Bay Indian Reservation,96,D8,R,F,G2101,A,2699959,595212,+46.7214629,-124.0291958
9260,01472036,9260R,Pamunkey,Pamunkey (state) Reservation,86,D4,R,S,G2101,A,4421855,1958558,+37.5718327,-077.0052176
2055,00647264,2055R,Lower Sioux,Lower Sioux Indian Community,95,D2,R,F,G2101,A,6962140,124999,+44.5308483,-094.9905189
3115,00231455,3115R,Redwood Valley,Redwood Valley Rancheria,85,D2,R,F,G2101,A,1095256,0,+39.2901865,-123.1797140
3735,00232986,3735R,Sherwood Valley,Sherwood Valley Rancheria,85,D8,R,F,G2101,A,1422993,0,+39.5370503,-123.4883321
2255,00228627,2255R,Middletown,Middletown Rancheria,85,D2,R,F,G2101,A,489059,0,+38.7286756,-122.6258468
2625,01436088,2625R,Paiute (UT),Paiute (UT) Reservation,86,D2,R,F,G2101,A,131123545,29024,+37.1701757,-113.7832703
3460,00255933,3460R,San Pasqual,San Pasqual Reservation,86,D8,R,F,G2101,A,5727871,0,+33.2112323,-116.9627338
3550,00255932,3550R,Santa Ysabel,Santa Ysabel Reservation,86,D2,R,F,G2101,A,60672776,0,+33.1837003,-116.6586025
1160,01934325,1160R,Fort Berthold,Fort Berthold Reservation,86,D2,R,F,G2101,A,3416518162,682427848,+47.7696737,-102.2967782
2340,02419023,2340R,Mooretown,Mooretown Rancheria,85,D8,R,F,G2101,A,132045,0,+39.4670736,-121.5197261
9370,00979494,9370R,Shinnecock,Shinnecock (state) Reservation,86,D4,R,S,G2101,A,3494292,0,+40.8737611,-072.4309700
2810,01263144,2810R,Pine Ridge,Pine Ridge Reservation,86,D2,R,F,G2101,A,11247588717,27448125,+43.3449996,-102.0818655
1963,02419000,1963R,Little Traverse Bay,Little Traverse Bay Reservation,86,D8,R,F,G2101,A,2236756,928,+45.3543753,-084.9786217
2850,00573503,2850R,Pleasant Point,Pleasant Point Reservation,86,D2,R,F,G2101,A,1462308,1055604,+44.9549298,-067.0430846
2240,00307483,2240R,Miccosukee,Miccosukee Reservation,86,D8,R,F,G2101,A,331773283,372498,+26.0637699,-080.8224485
1925,00226975,1925R,Laytonville,Laytonville Rancheria,85,D2,R,F,G2101,A,788337,0,+39.6692904,-123.5006818
2100,01985200,2100R,Manchester-Point Arena,Manchester-Point Arena Rancheria,85,D2,R,F,G2101,A,1524368,0,+38.9356895,-123.6825710
